Date,M4_Outstanding_GBP_bn
31/03/1998,724.182
30/06/1998,739.944
30/09/1998,760.115
31/12/1998,768.933
31/03/1999,775.262
30/06/1999,782.574
30/09/1999,782.416
31/12/1999,800.163
31/03/2000,818.065
30/06/2000,835.549
30/09/2000,849.908
31/12/2000,864.48
31/03/2001,880.563
30/06/2001,896.602
30/09/2001,914.386
31/12/2001,918.522
31/03/2002,927.716
30/06/2002,944.965
30/09/2002,965.772
31/12/2002,979.653
31/03/2003,993.31
30/06/2003,1017.613
30/09/2003,1025.927
31/12/2003,1049.777
31/03/2004,1060.922
30/06/2004,1079.108
30/09/2004,1100.516
31/12/2004,1125.472
31/03/2005,1153.469
30/06/2005,1180.823
30/09/2005,1204.393
31/12/2005,1236.55
31/03/2006,1267.93
30/06/2006,1306.887
30/09/2006,1347.09
31/12/2006,1364.586
31/03/2007,1394.027
30/06/2007,1433.472
30/09/2007,1468.246
31/12/2007,1486.557
31/03/2008,1499.151
30/06/2008,1508.18
30/09/2008,1508.804
31/12/2008,1522.527
31/03/2009,1539.769
30/06/2009,1542.369
30/09/2009,1536.227
31/12/2009,1541.588
31/03/2010,1554.711
30/06/2010,1557.676
30/09/2010,1562.797
31/12/2010,1571.308
31/03/2011,1547.378
30/06/2011,1548.682
30/09/2011,1563.535
31/12/2011,1559.886
31/03/2012,1581.991
30/06/2012,1606.531
30/09/2012,1633.129
31/12/2012,1642.826
31/03/2013,1660.778
30/06/2013,1678.9
30/09/2013,1699.236
31/12/2013,1715.464
31/03/2014,1734.087
30/06/2014,1756.931
30/09/2014,1772.112
31/12/2014,1791.006
31/03/2015,1811.12
30/06/2015,1821.242
30/09/2015,1838.264
31/12/2015,1860.638
31/03/2016,1889.886
30/06/2016,1935.575
30/09/2016,1980.309
31/12/2016,1995.061
31/03/2017,2026.934
30/06/2017,2051.146
30/09/2017,2074.146
31/12/2017,2090.485
31/03/2018,2100.658
30/06/2018,2128.904
30/09/2018,2128.125
31/12/2018,2148.855
31/03/2019,2156.996
30/06/2019,2174.021
30/09/2019,2209.339
31/12/2019,2231.152
31/03/2020,2320.665
30/06/2020,2436.141
30/09/2020,2466.045
31/12/2020,2534.278
31/03/2021,2597.172
30/06/2021,2641.487
30/09/2021,2667.895
31/12/2021,2701.365
31/03/2022,2743.144
30/06/2022,2762.274
30/09/2022,2860.811
31/12/2022,2770.575
31/03/2023,2778.56
30/06/2023,2774.933
30/09/2023,2738.886
31/12/2023,2760.566
31/03/2024,2784.501
30/06/2024,2804.928
30/09/2024,2829.17
31/12/2024,2855.819
31/03/2025,2898.8
30/06/2025,2925.181
30/09/2025,2958.237
31/12/2025,3000.753
31/03/2026,3028.043
